1,0,0,4,0.99964,0,0,0,1,1,0,3,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
2,0,35,978,0.96855,0,0,0,0,0,0,0,0,0,0,0,0,0.47826,0,0.49436,0,0.49843,0,0,0,0.47169,0,0.49465,0
3,1,0,1,0.99995,0,0,0,0,1,7.29251,3,0,0,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
4,0,67,94,1.00678,0.28915,0.22429,0.0566,0.25471,1.10837,1.18222,0.6415,12,0.02688,10,2,0,0.35,0.3,0.27161,0,0.39393,0,0,0,0.22093,0,0.27162,0
5,0,130,1,0.99986,0.23529,0.19047,0,0.04,1.25849,2.16454,1,0,0.04682,8,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0
6,0,163,0,1,0,0,0,0,1.25992,3.68516,2,0,0,2,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
8,1,4,45,1.00572,0,0,0,0.20833,1.23994,3.14083,0.89583,3,0.00119,39,2,0,0.5,1,0.50052,0,0.5,0,0,0,0.5,0,0.50045,0
10,0,0,25,1.0019,0.42857,0.3,0,0.12,1.17461,2.11853,1.2,0,0.02034,9,0,0,0.5,1,0.5,0,0.5,0,0,0,0.5,0,0.5,0
11,1,0,51,1.0054,0.25,0.2,0.01818,0.2,1.18172,1.18513,0.98181,7,0.10029,7,2,0,0.5,0.22222,0.50196,0,0.5,0,0.5,0,0.5102,0,0.50316,0
12,0,179,1,0.9999,0,0,0,0,1,5.617,3,0,0.00517,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
13,0,159,38,0.9995,0.34,0.25373,0.08888,0.16296,1.13402,1.04631,0.85185,16,0.17385,9,3,0.08695,0.5,0.34782,0.5,0.043478260869565216,0.5,0,0.5,0,0.5,0.04347,0.5,0
14,0,4,43,1.00616,0.1,0.0909,0,0.11627,1.13848,0.89887,1.16279,4,0,0,2,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
16,0,13,38,1.00465,0.09523,0.08695,0,0.2,1.18255,1.54386,1.075,8,0.0026,10,2,0,0.5,0.33333,0.50055,0,0.5,0,0,0,0.5,0,0.5004,0
17,0,215,2727,102,0.06743,0.06317,0.01151,0.10547,1.07545,0.86123,0.64182,127,0.97435,19,3,0.02072,1,0.50259,0.94915,0.0051813471502590676,0,0,0,0,1,0.02072,0.95238,0
18,0,64,135,0.98441,0.11891,0.10628,0.03809,0.1365,1.1302,0.22305,0.81587,24,0.13951,10,3,0,0.48717,0.33333,0.49554,0,0.5,0,0.5,0,0.48648,0,0.4951,0
20,1,8,5,1.00018,0,0,0,0,1.37972,4.15323,1.4,0,0.00333,4,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
21,1,0,0,1,1,1,0,0,1,10.36669,3,0,0.0001,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
22,0,0,126,1.02153,0.05208,0.0495,0.0155,0,1.18953,0.4864,0.8372,0,0.21943,8,0,0,0.5,0.31818,0.51383,0.045454545454545456,0.6,0,0,0,0.52173,0.04545,0.51485,0
23,0,0,2,1.00012,0.3,0.23076,0,0.05882,1.2663,2.85364,1.23529,0,0.00094,5,0,0,0.5,0,0.49946,0,0.5,0,0,0,0.5,0,0.49953,0
24,1,0,2,1.00097,0.20833,0.17241,0.025,0,1.142,0.69117,1.0125,0,0.13108,8,0,0,0.5,0.15384,0.5,0,0.5,0,0,0,0.5,0,0.5,0
30,0,41,144,1.00398,0.05345,0.05073,0.03685,0.04166,1.1345,0.17278,0.68108,4,0.31778,14,2,0,0.5,0.41237,0.4811,0,0,0,0,0,0.47058,0,0.48054,0
31,0,4,2,0.99977,0.16666,0.14285,0,0,1.27537,3.01004,1.28571,0,0.00158,7,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
32,0,4,5,1.00207,0.125,0.11111,0,0,1.24573,3.30954,1.33333,0,0.00369,9,0,0,0.5,1,0.5,0,0,0,0,0,0.5,0,0.5,0
33,0,0,41,1.00263,0.03125,0.0303,0,0.04878,1.20403,0.67502,1.14634,0,0.0402,11,2,0,0.5,0.57142,0.5,0,0.5,0,0,0,0.5,0,0.5,0
35,0,14,85,0.98059,0.08333,0.07692,0.048,0.152,1.14792,0.52334,0.96,6,0.17462,10,2,0,0.5,0.33333,0.49284,0,0.5,0,0.5,0,0.5,0,0.49403,0
36,0,4,40,0.99832,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.49666,0,0.5,0,0,0,0.48717,0,0.49562,0
37,1,0,32,1.00829,0,0,0,0,1.3086,2.71604,0.90909,0,0.0075,7,2,0,0.5,0.33333,0.50347,0,0,0,0,0,0.5,0,0.5032,1
38,1,4,1,0.99997,0,0,0.75,0,1.5874,8.36593,1.5,0,0,2,2,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
44,0,0,46,0.99135,0,0,0,0,1.25992,0,2,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
45,0,4,7,0.99941,0,0,0,0,1.41421,4.23875,1.5,0,0.00103,4,0,0,0.5,1,0.5,0,0.5,0,0,0,0.5,0,0.5,0
46,0,10,1,1.00004,0.07692,0.07142,0.0625,0,1.20302,1.30237,1.25,0,0,10,0,0,0.5,0.5,0.49959,0,0.5,0,0.5,0,0.50234,0,0.5,0
47,0,4,302,1.01405,0.06896,0.06451,0.00852,0.06716,1.14066,0.25766,0.65031,16,0.32805,13,2,0.01298,0.50354,0.35064,0.50558,0.006493506493506494,0.51351,0,0.5,0,0.50403,0,0.50545,0
48,1,4,85,1.00384,0.02857,0.02777,0,0.03333,1.1972,0.74101,1.03333,0,0,10,2,0,0.5,0.4375,0.5,0.0625,0.5,0,0.5,0,0.5,0,0.5,0
49,0,4,2,0.99978,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.50541,0,0.5,0,0,0,0.51219,0,0.50595,0
50,0,0,2,1.00006,0,0,0,0.33333,1.73205,0,1.66666,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
51,0,50,237,1.00429,0.06422,0.06035,0.05318,0.10963,1.12087,0.134,0.53859,150,0.39785,37,3,0.03954,0.5045,0.39548,0.50109,0.011299435028248588,0.5,0,0,0,0.50331,0.01129,0.50153,0
58,0,6,568,1.16521,0.08016,0.07421,0.08874,0.187,1.14062,0.356,0.55625,18,0.35463,12,2,0,0.5,0.22727,0.52873,0,0.5,0,0,0,0.53488,0,0.52784,0
60,0,15,77,1.01096,0.06666,0.0625,0.07792,0.22077,1.16158,0.94946,1.01298,6,0.05349,9,4,0,0.5,0.46153,0.50382,0,0.5,0,0,0,0.5,0.07692,0.50328,0
61,1,0,92,1.02655,0.05714,0.05405,0,0.02173,1.18231,0.47545,0.94565,0,0.13111,9,2,0,0.5,0.46666,0.50933,0.06666666666666667,0.55555,0,0,0,0.5,0.06666,0.50947,0
62,1,4,1,0.99978,0,0,0,0,1.31607,2.80798,1.33333,0,0.00392,5,0,0,0.5,0,0.49905,0,0.5,0,0,0,0.5,0,0.49918,1
63,1,4,10,0.99741,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
64,0,0,0,1,0,0,0,0.66666,1.44224,0,1.66666,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0
65,1,0,4,1.00001,0,0,0,0.8,1.49534,0,1.4,2,0,0,2,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
66,0,93,48,0.99808,0,0,0,0,0,0,0,0,0,0,0,0,0.49572,0,0.49907,0,0.5,0,0,0,0.49859,0,0.49887,0
67,0,0,49,1.12098,0.1,0.0909,0.16,0.18,1.17703,0.73113,1.04,8,0.34285,9,2,0,0,0.16666,0.52631,0,0,0,0,0,0,0,0.52631,0
71,0,4,9,0.99943,0.57142,0.36363,0,0,1.29239,4.26138,1.15384,0,0.01236,5,0,0,0.5,1,0.50047,0,0.5,0,0.5,0,0.5,0,0.50035,0
72,0,71,48,0.99896,0.04925,0.04693,0.03448,0.08845,1.11864,0.09864,0.7826,14,0.28855,14,3,0,0.5,0.44444,0.49979,0,0.5,0,0,0,0.5,0.0101,0.49983,0
73,0,18,1,1.00006,0.28571,0.22222,0,0.25,1.28666,3.50566,1.25,2,0.01054,6,2,0,0.5,0,0.49929,0,0.5,0,0,0,0.5,0,0.49938,0
76,0,0,159,1.06006,0.15068,0.13095,0.05294,0.18235,1.12686,0.81671,0.84117,14,0.05172,14,4,0.04545,0.5,0.22727,0.5,0,0.5,0,0,0,0.5,0,0.5,0
77,0,0,34,1.00033,0.13333,0.11764,0.11764,0.20588,1.15148,1.81232,1.14705,3,0.00144,7,2,0,0.5,0.2,0.50004,0,0.5,0,0.5,0,0.5,0,0.50004,0
78,0,200,10,1.00296,0.11111,0.1,0,0,1.25345,2.49434,1.25,0,0.06823,8,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0
79,0,58,148,0.97566,0.11764,0.10526,0,0.22727,1.28695,1.563,0.79545,0,0.04767,8,2,0,0.5,0.2,0.49771,0,0.5,0,0,0,0.5,0,0.4979,0
80,0,46,1,1.00004,0,0,1,0,1,8.67747,3,0,0.00592,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
81,0,9,49,1.01792,0.04166,0.04,0.07017,0.24561,1.18348,1.89127,0.98245,11,0.01146,10,2,0,0.5,0.16666,0.50176,0,0.5,0,0,0,0.5,0,0.50151,0
82,0,0,11,1.00477,0.14285,0.125,0,0.30769,1.31194,2.90759,0.92307,4,0.01162,8,2,0,0.5,1,0.50476,0,0,0,0,0,0.5,0,0.50393,0
83,0,22,865,0.04419,0.73333,0.42307,0,0.17142,1.15967,2.60775,1.14285,4,1,9,2,0.25,0.25,0.5,0.04651,0,0,0,0,0,0.2,0,0.08771,0
84,0,11,57,1.02884,0.04444,0.04255,0,0.15789,1.15534,0.8067,1.10526,2,0,0,2,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0
85,0,87,423,0.95472,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
86,0,4,1694,1.31008,0.03869,0.03725,0.19629,0.2636,1.13057,1.59873,0.41615,152,0.34485,17,2,0.00383,0.52941,0.05747,0.51085,0.007662835249042145,0.6,0,0,0,0.5,0.00766,0.51209,0
88,0,142,4,0.99921,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
89,1,4,1,0.99987,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
90,0,98,20,0.99462,4,1,0,0.60869,1.47984,7.87811,0.95652,4,0.00747,3,2,0,0.5,0,0.49753,0,0.5,0,0,0,0.5,0,0.49802,0
91,0,154,1885,1.20727,0.05194,0.04938,0.04612,0.1299,1.11207,0.15115,0.66012,73,0.09922,9,3,0.03703,0.23333,0.37037,0.28225,0,0,0,0,0,0.28787,0.03703,0.27839,0
93,1,0,1,1.00003,0,0,0,0,1,0,3,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
94,0,8,7,1.00016,0,0,0,0.42857,1.38308,4.3703,1.28571,1,0,4,2,0,0.5,0,0.49893,0,0.5,0,0,0,0.5,0,0.49907,0
100,0,15,175,1.02026,0.04932,0.047,0.07975,0.10429,1.1227,0.3052,0.83742,3,0.20179,9,3,0,0.5,0.17857,0.5,0,0.5,0,0,0,0.5,0,0.5,0
101,0,116,16,0.99872,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.49894,0,0.5,0,0,0,0.5,0,0.49908,0
102,1,4,14,1.00143,0,0,0,0.0625,1.28666,2.53788,1.0625,0,0.0303,12,0,0,0,1,0.50333,0,0.5,0,0,0,0.52941,0,0.50455,0
103,1,4,12,0.99967,0,0,0,0,1.25992,0,2,0,0,0,0,0,0.5,0,0.4998,0,0.5,0,0,0,0.5,0,0.49983,0
104,1,4,15,0.9996,0,0,0,0.12903,1.21018,1.41972,1.16129,2,0.00373,7,2,0,0.5,0.5,0.49924,0.25,0.53333,0,0,0,0.5,0,0.5,0
105,1,0,0,1,0,0,0,0,1,4.61831,3,0,0,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
107,0,0,2,0.99997,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
108,1,58,8,1.00024,0,0,0,0.5,1.3459,3.83949,1.375,2,0.00039,4,2,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
109,0,3,311,1.08792,0.07427,0.06913,0.05723,0.12289,1.10669,0.18525,0.79797,20,0.39354,13,3,0.01234,0.53333,0.35802,0.5147,0,0,0,0.5,0,0.51851,0,0.51428,0
110,0,6,32,1.02149,0.04545,0.04347,0,0.14285,1.18447,1.05415,1.11428,2,0.06878,7,2,0,0.5,0.75,0.5102,0,0,0,0.5,0,0.5,0,0.50867,0
111,0,4,3230,1.08181,0.07118,0.06645,0.03121,0.08401,1.10175,0.32006,0.61989,91,0.4344,15,3,0.03667,0.5,0.35907,0.5,0.02895752895752896,0.5,0,0,0,0.5,0.01737,0.5,0
112,1,107,4,1.00007,0.5,0.33333,0,0,1.3195,4.8925,1.5,0,0.04048,3,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
113,0,135,2074,2.73556,0.06216,0.05852,0.01826,0.125,1.11004,0.24517,0.49319,109,0.85775,28,2,0.02631,0.83333,0.87368,0.70036,0.02631578947368421,1,0,0,0,0.5,0,0.70408,0
